Row Number,sxolio,taxi,mathima,thema
21,ΜΑΘΗΜΑΤΑ ΕΠΙΛΟΓΗΣ,Α' ΕΠΑ.Λ,ΒΑΣΙΚΕΣ ΑΡΧΕΣ ΣΥΝΘΕΣΗΣ,ΑΡΧΕΣ ΣΥΝΘΕΣΗΣ
92,,Α' Γυμνασίου,ΓΛΩΣΣΙΚΗ ΔΙΔΑΣΚΑΛΙΑ,"ΕΡΜΗΝΕΥΤΙΚΟ ΛΕΞΙΚΟ ΝΕΑΣ ΕΛΛΗΝΙΚΗΣ Α΄, Β΄, Γ΄"
103,,Α' Γυμνασίου,ΦΥΣΙΚΗ ΑΓΩΓΗ,ΦΥΣΙΚΗ ΑΓΩΓΗ
241,,Β' Γυμνασίου,ΦΥΣΙΚΗ ΑΓΩΓΗ,ΦΥΣΙΚΗ ΑΓΩΓΗ
104,,Γ' Δημοτικού,ΓΛΩΣΣΑ,ΕΙΚΟΝΟΓΡΑΦΗΜΕΝΟ ΛΕΞΙΚΟ
211,,Α' Δημοτικού,ΓΛΩΣΣΑ,ΕΙΚΟΝΟΓΡΑΦΗΜΕΝΟ ΛΕΞΙΚΟ
100,ΜΑΘΗΜΑΤΑ ΠΡΟΣΑΝΑΤΟΛΙΣΜΟΥ ΣΠΟΥΔΩΝ ΥΓΕΙΑΣ,Γ' Λυκείου,ΦΥΣΙΚΗ,ΦΥΣΙΚΗ (ΤΕΥΧΟΣ Β')
27,ΜΑΘΗΜΑΤΑ ΓΕΝΙΚΗΣ ΠΑΙΔΕΙΑΣ,Β' ΕΠΑ.Λ,ΘΡΗΣΚΕΥΤΙΚΑ,ΘΡΗΣΚΕΥΤΙΚΑ: ΧΡΙΣΤΙΑΝΙΣΜΟΣ ΚΑΙ ΘΡΗΣΚΕΥΜΑΤΑ
23,,Β' Εκκλησιαστικού Γυμνασίου,ΒΥΖΑΝΤΙΝΗ ΜΟΥΣΙΚΗ,ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΜΟΥΣΙΚΗ
85,,Α' Εκκλησιαστικού Γυμνασίου,ΒΥΖΑΝΤΙΝΗ ΜΟΥΣΙΚΗ,ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΜΟΥΣΙΚΗ
