file_name,percent_removed,total_lines,avg_chars_per_line
paper_381.txt,0.34,23674,31.48
paper_246.txt,1.96,24032,28.49
paper_175.txt,0.9,5551,42.14
paper_11.txt,1.35,12840,27.57
paper_733.txt,1.75,28217,18.43
paper_230.txt,1.71,15456,36.12
paper_582.txt,2.93,8095,25.36
paper_586.txt,1.45,4270,19.11
paper_197.txt,3.0,19246,22.71
paper_645.txt,1.46,6624,21.06
paper_4.txt,1.29,12063,27.91
paper_725.txt,0.67,16013,26.32
paper_557.txt,7.72,15873,38.37
paper_654.txt,2.56,15107,35.88
paper_77.txt,9.65,16485,35.37
paper_329.txt,0.93,18556,34.09
paper_282.txt,0.9,7898,32.08
paper_644.txt,2.69,10250,34.14
paper_496.txt,2.35,14528,31.77
paper_541.txt,3.48,20258,29.88
paper_325.txt,4.04,7111,30.64
paper_87.txt,9.51,13812,30.73
paper_289.txt,0.92,30763,30.78
paper_211.txt,0.97,15087,39.06
paper_287.txt,0.53,13123,23.93
paper_658.txt,1.45,8293,36.96
paper_624.txt,2.92,9619,36.41
paper_281.txt,1.02,4915,32.06
paper_198.txt,1.99,10336,25.03
paper_174.txt,1.03,14516,26.82
paper_345.txt,1.75,28217,18.43
paper_636.txt,0.92,30763,30.78
paper_569.txt,2.35,14528,31.77
paper_233.txt,3.63,14656,31.31
paper_164.txt,5.57,9025,32.13
paper_459.txt,0.34,23674,31.48
paper_492.txt,2.27,10060,33.94
paper_61.txt,0.68,26126,23.42
paper_105.txt,0.23,18033,17.43
paper_46.txt,6.63,9866,35.67
paper_360.txt,0.88,14067,26.97
paper_739.txt,1.79,9794,42.11
paper_82.txt,3.14,12986,36.06
paper_398.txt,1.98,12707,29.34
paper_245.txt,0.68,26126,23.42
paper_484.txt,0.55,20832,25.48
paper_260.txt,5.24,18066,39.09
paper_706.txt,2.16,5006,34.43
paper_656.txt,1.11,9101,36.53
paper_81.txt,0.52,9587,37.4
paper_258.txt,6.96,7768,43.35
paper_302.txt,0.39,12692,40.15
paper_534.txt,0.88,15959,21.85
paper_662.txt,2.65,8339,41.65
paper_697.txt,1.24,14141,26.4
paper_351.txt,1.57,22158,19.82
paper_589.txt,0.59,8473,27.01
paper_408.txt,0.0,12114,31.16
paper_698.txt,1.32,8939,35.74
paper_210.txt,5.51,9324,26.01
paper_215.txt,1.74,4956,31.0
paper_434.txt,2.43,7396,29.46
paper_69.txt,1.38,9029,25.14
paper_519.txt,8.28,13096,42.38
paper_9.txt,5.74,10243,42.55
paper_467.txt,0.85,15546,32.67
paper_67.txt,6.37,1208,30.52
paper_724.txt,1.03,14516,26.82
paper_683.txt,1.02,10830,26.45
paper_286.txt,1.2,6945,52.77
paper_315.txt,0.58,8554,32.73
paper_449.txt,0.56,11637,23.27
paper_638.txt,1.16,11188,38.94
paper_403.txt,5.98,10009,36.71
paper_376.txt,0.59,8473,27.01
paper_618.txt,2.24,24782,24.57
paper_75.txt,0.55,9078,35.87
paper_395.txt,0.34,23674,31.48
paper_471.txt,0.97,15087,39.06
paper_242.txt,2.92,23847,25.04
paper_154.txt,6.76,9100,34.32
paper_323.txt,2.58,14613,37.88
paper_275.txt,1.57,13338,35.65
paper_616.txt,0.52,21352,19.73
paper_187.txt,0.88,14067,26.97
paper_265.txt,0.23,18033,17.43
paper_425.txt,1.68,20728,36.96
paper_299.txt,1.81,13578,36.05
paper_621.txt,0.34,23674,31.48
paper_489.txt,0.93,21481,30.51
paper_205.txt,2.05,15154,26.58
paper_660.txt,0.65,25200,19.46
paper_745.txt,1.59,20535,29.5
paper_585.txt,2.6,12278,33.27
paper_743.txt,6.23,13121,33.09
paper_504.txt,0.34,23674,31.48
paper_522.txt,2.03,6552,31.5
paper_473.txt,3.43,16186,24.71
paper_572.txt,0.37,13446,38.82
paper_353.txt,3.08,4645,40.1
paper_516.txt,6.5,2370,40.99
paper_574.txt,0.93,18556,34.09
paper_231.txt,1.89,8031,34.99
paper_620.txt,3.08,4645,40.1
paper_63.txt,3.48,20258,29.88
paper_126.txt,3.14,12986,36.06
paper_176.txt,1.5,12932,29.68
paper_301.txt,1.03,14516,26.82
paper_223.txt,3.88,11891,35.77
paper_714.txt,1.11,19386,36.85
paper_13.txt,1.8,21023,25.25
paper_595.txt,4.69,4519,40.84
paper_521.txt,0.63,25195,23.58
paper_611.txt,7.58,2770,21.04
paper_99.txt,6.48,10817,38.15
paper_594.txt,3.0,19246,22.71
paper_370.txt,2.01,13112,25.51
paper_722.txt,0.98,7625,26.18
paper_259.txt,2.35,9052,43.7
paper_424.txt,0.44,11530,24.22
paper_192.txt,0.54,15032,17.91
paper_401.txt,1.36,18148,36.81
paper_483.txt,0.61,17770,23.38
paper_390.txt,0.81,19817,22.7
paper_165.txt,7.72,15873,38.37
paper_653.txt,6.42,6433,29.35
paper_117.txt,3.19,8519,41.65
paper_304.txt,0.85,9757,50.95
paper_378.txt,1.83,9417,29.79
paper_642.txt,1.13,12770,19.33
paper_397.txt,0.99,22302,26.76
paper_31.txt,1.46,6624,21.06
paper_118.txt,1.95,5292,22.54
paper_619.txt,7.13,5061,19.71
paper_553.txt,1.28,11617,34.73
paper_114.txt,1.34,6796,41.91
paper_597.txt,4.81,7064,29.23
paper_482.txt,1.8,17419,33.78
paper_241.txt,1.44,19534,28.14
paper_437.txt,0.81,7501,29.65
paper_199.txt,2.35,10504,39.6
paper_12.txt,2.11,10850,19.07
paper_188.txt,0.97,15087,39.06
paper_405.txt,1.83,9417,29.79
paper_391.txt,8.46,10329,40.3
paper_602.txt,1.45,22940,21.17
paper_333.txt,1.2,6945,52.77
paper_330.txt,2.0,6856,34.02
paper_207.txt,3.38,5292,28.9
