Average Removal Rate: 1.75%
Average Total Lines: 14081.80
Total Lines Across All Files: 7843565
Average Characters per Line Across All Files: 26.55

File Statistics (Lines Removed, Total Lines, Avg Characters per Line):
paper_381.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_246.txt: 1.96% removed, 24032 total lines, 28.49 avg chars/line
paper_605.txt: 0.00% removed, 1 total lines, 364.00 avg chars/line
paper_633.txt: 1.33% removed, 25419 total lines, 16.06 avg chars/line
paper_175.txt: 0.90% removed, 5551 total lines, 42.14 avg chars/line
paper_11.txt: 1.35% removed, 12840 total lines, 27.57 avg chars/line
paper_466.txt: 0.00% removed, 105 total lines, 15.47 avg chars/line
paper_733.txt: 1.75% removed, 28217 total lines, 18.43 avg chars/line
paper_230.txt: 1.71% removed, 15456 total lines, 36.12 avg chars/line
paper_582.txt: 2.93% removed, 8095 total lines, 25.36 avg chars/line
paper_586.txt: 1.45% removed, 4270 total lines, 19.11 avg chars/line
paper_197.txt: 3.00% removed, 19246 total lines, 22.71 avg chars/line
paper_140.txt: 1.20% removed, 17796 total lines, 14.21 avg chars/line
paper_645.txt: 1.46% removed, 6624 total lines, 21.06 avg chars/line
paper_4.txt: 1.29% removed, 12063 total lines, 27.91 avg chars/line
paper_627.txt: 0.00% removed, 255 total lines, 5.96 avg chars/line
paper_137.txt: 0.33% removed, 37205 total lines, 14.46 avg chars/line
paper_725.txt: 0.67% removed, 16013 total lines, 26.32 avg chars/line
paper_557.txt: 7.72% removed, 15873 total lines, 38.37 avg chars/line
paper_654.txt: 2.56% removed, 15107 total lines, 35.88 avg chars/line
paper_77.txt: 9.65% removed, 16485 total lines, 35.37 avg chars/line
paper_329.txt: 0.93% removed, 18556 total lines, 34.09 avg chars/line
paper_282.txt: 0.90% removed, 7898 total lines, 32.08 avg chars/line
paper_644.txt: 2.69% removed, 10250 total lines, 34.14 avg chars/line
paper_496.txt: 2.35% removed, 14528 total lines, 31.77 avg chars/line
paper_541.txt: 3.48% removed, 20258 total lines, 29.88 avg chars/line
paper_325.txt: 4.04% removed, 7111 total lines, 30.64 avg chars/line
paper_87.txt: 9.51% removed, 13812 total lines, 30.73 avg chars/line
paper_289.txt: 0.92% removed, 30763 total lines, 30.78 avg chars/line
paper_211.txt: 0.97% removed, 15087 total lines, 39.06 avg chars/line
paper_287.txt: 0.53% removed, 13123 total lines, 23.93 avg chars/line
paper_658.txt: 1.45% removed, 8293 total lines, 36.96 avg chars/line
paper_624.txt: 2.92% removed, 9619 total lines, 36.41 avg chars/line
paper_281.txt: 1.02% removed, 4915 total lines, 32.06 avg chars/line
paper_198.txt: 1.99% removed, 10336 total lines, 25.03 avg chars/line
paper_487.txt: 0.27% removed, 57290 total lines, 4.61 avg chars/line
paper_174.txt: 1.03% removed, 14516 total lines, 26.82 avg chars/line
paper_345.txt: 1.75% removed, 28217 total lines, 18.43 avg chars/line
paper_636.txt: 0.92% removed, 30763 total lines, 30.78 avg chars/line
paper_569.txt: 2.35% removed, 14528 total lines, 31.77 avg chars/line
paper_233.txt: 3.63% removed, 14656 total lines, 31.31 avg chars/line
paper_164.txt: 5.57% removed, 9025 total lines, 32.13 avg chars/line
paper_459.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_492.txt: 2.27% removed, 10060 total lines, 33.94 avg chars/line
paper_61.txt: 0.68% removed, 26126 total lines, 23.42 avg chars/line
paper_105.txt: 0.23% removed, 18033 total lines, 17.43 avg chars/line
paper_46.txt: 6.63% removed, 9866 total lines, 35.67 avg chars/line
paper_360.txt: 0.88% removed, 14067 total lines, 26.97 avg chars/line
paper_739.txt: 1.79% removed, 9794 total lines, 42.11 avg chars/line
paper_82.txt: 3.14% removed, 12986 total lines, 36.06 avg chars/line
paper_398.txt: 1.98% removed, 12707 total lines, 29.34 avg chars/line
paper_245.txt: 0.68% removed, 26126 total lines, 23.42 avg chars/line
paper_484.txt: 0.55% removed, 20832 total lines, 25.48 avg chars/line
paper_260.txt: 5.24% removed, 18066 total lines, 39.09 avg chars/line
paper_42.txt: 0.00% removed, 271 total lines, 5.03 avg chars/line
paper_607.txt: 0.00% removed, 177 total lines, 5.93 avg chars/line
paper_706.txt: 2.16% removed, 5006 total lines, 34.43 avg chars/line
paper_656.txt: 1.11% removed, 9101 total lines, 36.53 avg chars/line
paper_81.txt: 0.52% removed, 9587 total lines, 37.40 avg chars/line
paper_258.txt: 6.96% removed, 7768 total lines, 43.35 avg chars/line
paper_302.txt: 0.39% removed, 12692 total lines, 40.15 avg chars/line
paper_534.txt: 0.88% removed, 15959 total lines, 21.85 avg chars/line
paper_662.txt: 2.65% removed, 8339 total lines, 41.65 avg chars/line
paper_697.txt: 1.24% removed, 14141 total lines, 26.40 avg chars/line
paper_351.txt: 1.57% removed, 22158 total lines, 19.82 avg chars/line
paper_589.txt: 0.59% removed, 8473 total lines, 27.01 avg chars/line
paper_408.txt: 0.00% removed, 12114 total lines, 31.16 avg chars/line
paper_698.txt: 1.32% removed, 8939 total lines, 35.74 avg chars/line
paper_463.txt: 5.05% removed, 2417 total lines, 178.99 avg chars/line
paper_210.txt: 5.51% removed, 9324 total lines, 26.01 avg chars/line
paper_215.txt: 1.74% removed, 4956 total lines, 31.00 avg chars/line
paper_434.txt: 2.43% removed, 7396 total lines, 29.46 avg chars/line
paper_69.txt: 1.38% removed, 9029 total lines, 25.14 avg chars/line
paper_519.txt: 8.28% removed, 13096 total lines, 42.38 avg chars/line
paper_9.txt: 5.74% removed, 10243 total lines, 42.55 avg chars/line
paper_467.txt: 0.85% removed, 15546 total lines, 32.67 avg chars/line
paper_67.txt: 6.37% removed, 1208 total lines, 30.52 avg chars/line
paper_724.txt: 1.03% removed, 14516 total lines, 26.82 avg chars/line
paper_609.txt: 0.00% removed, 1 total lines, 372.00 avg chars/line
paper_683.txt: 1.02% removed, 10830 total lines, 26.45 avg chars/line
paper_125.txt: 0.49% removed, 12741 total lines, 13.67 avg chars/line
paper_286.txt: 1.20% removed, 6945 total lines, 52.77 avg chars/line
paper_544.txt: 0.29% removed, 37358 total lines, 8.41 avg chars/line
paper_315.txt: 0.58% removed, 8554 total lines, 32.73 avg chars/line
paper_449.txt: 0.56% removed, 11637 total lines, 23.27 avg chars/line
paper_638.txt: 1.16% removed, 11188 total lines, 38.94 avg chars/line
paper_403.txt: 5.98% removed, 10009 total lines, 36.71 avg chars/line
paper_376.txt: 0.59% removed, 8473 total lines, 27.01 avg chars/line
paper_618.txt: 2.24% removed, 24782 total lines, 24.57 avg chars/line
paper_75.txt: 0.55% removed, 9078 total lines, 35.87 avg chars/line
paper_395.txt: 0.34% removed, 23674 total lines, 31.48 avg chars/line
paper_471.txt: 0.97% removed, 15087 total lines, 39.06 avg chars/line
paper_242.txt: 2.92% removed, 23847 total lines, 25.04 avg chars/line
paper_154.txt: 6.76% removed, 9100 total lines, 34.32 avg chars/line
paper_323.txt: 2.58% removed, 14613 total lines, 37.88 avg chars/line
paper_275.txt: 1.57% removed, 13338 total lines, 35.65 avg chars/line
paper_616.txt: 0.52% removed, 21352 total lines, 19.73 avg chars/line
