index,author,etos_author,translator,etos_translator,title,text_filename
1,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Αγαμέμνων,book_1_Aeschylus.txt
2,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Επτά επί Θήβας,book_2_Aeschylus.txt
3,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Ευμενίδες,book_3_Aeschylus.txt
4,Aeschylus,526 BCE-457 BCE,"Zervos, I. (Ioannes)",1875-1944,Πέρσαι,book_4_Aeschylus.txt
5,Aeschylus,526 BCE-457 BCE,"Zervos, I. (Ioannes)",1875-1944,Προμηθεύς Δεσμώτης,book_5_Aeschylus.txt
6,Aeschylus,526 BCE-457 BCE,"Grypares, I. N. (Ioannes N.)",1870-1942,Χοηφόροι,book_6_Aeschylus.txt
7,"Ainian, Demetrios",1800-1881,,,Η Βιογραφία του στρατηγού Γεωργίου Καραϊσκάκη,book_7_Ainian_Demetrios.txt
8,"Deledda, Grazia",1871-1936,"Alexandridis, Christos",,Καλαμιές στον άνεμο,book_8_Deledda_Grazia.txt
9,Xenophon,432 BCE-351,"Anastasopoulos, Demetrios",1873,Κύρου Ανάβασις Τόμος 1,book_9_Xenophon.txt
10,Xenophon,432 BCE-351,"Anastasopoulos, Demetrios",1873,Κύρου Ανάβασις Τόμος 2,book_10_Xenophon.txt
11,"Andersen, H. C. (Hans Christian)",1805-1875,"Chatziarapi, Anastasia",,Η νεράιδα του Πάγου,book_11_Andersen_H_C_Hans_Christian.txt
12,"Andersen, H. C. (Hans Christian)",1805-1875,"Vikelas, Demetrios",1835-1908,"Παραμύθια Δανικά, εκ των του Ανδερσεν",book_12_Andersen_H_C_Hans_Christian.txt
13,"Andreadis, Andreas",1876-1935,,,"Ιστορία των Εθνικών Δανείων
Μέρος Α' - Τα δάνεια της ανεξαρτησίας (1824-1825) - Το Δημόσιον Χρέος επί της Βαυαρικής Δυναστείας",book_13_Andreadis_Andreas.txt
14,"Anninos, Bampes",1852-1934,,,Αττικαί ημέραι,book_14_Anninos_Bampes.txt
15,"Goethe, Johann Wolfgang von",1749-1832,"Aretas, Ioannis",,Βέρθερος,book_15_Goethe_Johann_Wolfgang_von.txt
16,"Cottin, Madame (Sophie)",1770-1807,"Argyropoulos, K. P.",,Μαλβίνα: Ρωμαντικό Μυθιστόρημα του 18ου αιώνος,book_16_Cottin_Madame_Sophie.txt
17,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Βάτραχοι,book_17_Aristophanes.txt
18,Aristophanes,447? BCE,,,Εκκλησιάζουσαι,book_18_Aristophanes.txt
19,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Λυσιστράτη,book_19_Aristophanes.txt
20,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Νεφέλαι,book_20_Aristophanes.txt
21,Aristophanes,447? BCE,"Demetrakopoulos, Polyvios",1864-1922,Όρνιθες,book_21_Aristophanes.txt
22,Aristotle,385 BCE-323 BCE,"Zervos, I. (Ioannes)",1875-1944,Αθηναίων Πολιτεία,book_22_Aristotle.txt
23,Aristotle,385 BCE-323 BCE,"Zambas, Kyriakos",1866,"Ηθικά Νικομάχεια, Τόμος Δεύτερος",book_23_Aristotle.txt
24,Aristotle,385 BCE-323 BCE,"Zambas, Kyriakos",1866,"Ηθικά Νικομάχεια, Τόμος Πρώτος",book_24_Aristotle.txt
25,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,"Μικρά Φυσικά, Τόμος Δεύτερος",book_25_Aristotle.txt
26,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,"Μικρά Φυσικά, Τόμος Πρώτος",book_26_Aristotle.txt
27,Aristotle,385 BCE-323 BCE,"Gratsiatos, Paulos",,Περί Ψυχής,book_27_Aristotle.txt
28,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"Declaration of Faith, in Latin and the Original Greek",book_28_Athanasius_Saint_Patriarch_of_Alexandria.txt
29,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"In Illud: Omnia mihi tradita sunt a Patre
A Homily on Matthew 11:27, In Latin and the Original Greek",book_29_Athanasius_Saint_Patriarch_of_Alexandria.txt
30,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"Declaration of Faith, in Latin and the Original Greek",book_30_Athanasius_Saint_Patriarch_of_Alexandria.txt
31,"Athanasius, Saint, Patriarch of Alexandria, -",373,,,"In Illud: Omnia mihi tradita sunt a Patre
A Homily on Matthew 11:27, In Latin and the Original Greek",book_31_Athanasius_Saint_Patriarch_of_Alexandria.txt
