author,author_year,translator,title,text,url
Γεώργιος Άβλιχος,"Τεργέστη, 2 Απριλίου 1842 – Αργοστόλι, 1909;",,Παππάς εις ωραία υδρευομένην,"Ἄχ! ὁ Θεὸς κοπέλα μου τὸ ’ξέρει 

Πῶς τὸ νερὸ ’ποῦ ’παίρνεις ἀπ’ τὴ βρύσι 

Τὦχα κ’ ἐγὼ ἀνάγκη νὰ μοῦ σβύσῃ 

Τὴ φλόγα ’ποῦ ’ς τὸν τάφο θὰ με φέρῃ!

Τα ῥάσα μου μὴν τὰ θωρῇς, —ν’ ἀφήσῃ 

Δὲν δύναται κανεὶς ὅ,τι συμφέρει.

Δός μου νὰ πιῶ μὲ τ’ ἄσπρο σου τὸ χέρι 

Κ’ ὅ,τι κι’ ἂν ἔχω πάρε γιὰ μπαξίσι.

Μὴ λὲς ὅπως ’μπορεῖ τοῦτο τὸ ῥάσο 

Τὴ γλῶσσα νὰ μοῦ δέσῃ.... Σ’ ἀγαπάω,

Κι’ ἂν δὲν σοῦ τὸ πῶ φῶς μου, θενὰ σκάσω.

Ἄχ! ἄφησε (γιατί ἄλλο δὲ βαστάω)

Τὸ στῆθός σου μὲ σέβας νὰ πλησιάσω....

Τὸ φυλαχτό σου ν’ ἀσπασθῶ διψάω.



Ἐν Ἀργοστολίῳ.

Γεώργιος Γ. Ἄβλιχος.",https://el.wikisource.org/wiki/%CE%A0%CE%B1%CF%80%CF%80%CE%AC%CF%82_%CE%B5%CE%B9%CF%82_%CF%89%CF%81%CE%B1%CE%AF%CE%B1_%CF%85%CE%B4%CF%81%CE%B5%CF%85%CE%BF%CE%BC%CE%AD%CE%BD%CE%B7%CE%BD
Μικέλης Άβλιχος,1844-1917,,Συγχαρητήριον δεσποινίδος,"ΣΥΓΧΑΡΗΤΗΡΙΟΝ ΔΕΣΠΟΙΝΙΔΟΣ

ΚΑΤΕ ΚΑΡΟΥΤΣΟΥ

ΜΕΛΟΝΥΜΦΟΝ

Ἄνθος κ’ ἐγὼ νὰ στείλω στὴ χαρά σου

Ἐπιθυμοῦσα, φίλη εἰλικρινὴς,

Ποῦ νὰ ταιριάζῃ στὰ χρυσᾶ μαλλιά σου,

Στὴν ὄψι σου ποῦ μοιάζει τῆς αὐγῆς.



Εὐῶδες σὰν τὴν ἄκακη ψυχή σου,

Ζωηρό σὰν τὴν ὡραία σου τὴ φωνή,

Ἄνθος φανταστικὸ τοῦ Παραδείου

Ποῦ ἐμπρός σου ταπεινὸ νὰ μὴ φανῇ.



Ἂν ὅμως ἄνθος τέτοιο ἢ φαντασία,

Στοῦ γάμου σου τὴ μέρα τὴ φαιδρὴ,

Δέ βρίσκῃ νὰ προσφέρῃ στὴ φιλία,

Δέξου βαθειάθε μέσα ἀπ’ τὴν ψυχὴ

Μύριαις εὐχαὶς, μ’ αὐτὴν τὴ στιχουργία

Πὤρχεται ἐγκαρδιακὰ νὰ συγχαρῇ.

Εἰς Κεφαλληνίαν 13 Μαρτίου 1879",https://el.wikisource.org/wiki/%CE%A3%CF%85%CE%B3%CF%87%CE%B1%CF%81%CE%B7%CF%84%CE%AE%CF%81%CE%B9%CE%BF%CE%BD_%CE%B4%CE%B5%CF%83%CF%80%CE%BF%CE%B9%CE%BD%CE%AF%CE%B4%CE%BF%CF%82
Μικέλης Άβλιχος,1844-1917,,Ένα φιλί κ’ ένα στεφάνι,"Εις τον φίλον Ποιητή Γ. Μαρτινέλη

διά τα ερωτικά ποιήματά του





Φιλί γλυκό, γλυκό σαν τη φιλία

γλυκού σου φίλου, δέξου ποιητή,

ωσάν ανταμοιβή στην αρμονία

στα κάλλη που ανεβάζουν την ψυχή

τα τρυφερά σου ερωτικά λουλούδια

που μας χαρίζεις σε λαμπρά τραγούδια.



Η Μούσα μου όμως – μοναχό δε φθάνει

το εγκάρδιό μου και γλυκό φιλί

από μυρτιές του Παρνασσού στεφάνι

σου πλέκει για τη λύρα τη χρυσή,

και όλη σού το προσφέρει ενθουσιασμένη

στον θείο σου τον έρωτα υψωμένη.

 



Κεφαλληνία 1879",https://el.wikisource.org/wiki/%CE%88%CE%BD%CE%B1_%CF%86%CE%B9%CE%BB%CE%AF_%CE%BA%E2%80%99_%CE%AD%CE%BD%CE%B1_%CF%83%CF%84%CE%B5%CF%86%CE%AC%CE%BD%CE%B9
Μικέλης Άβλιχος,1844-1917,,Εις γάμους δίδος Βαρβάρας Τουλ,"(με Ιάκωβον Βάρτμαν)



Μυρτιάς κλωνάρια θαλερά και ρόδα μυρουδάτα,

χαριτωμένοι νεόνυμφοι, στο διάβα σας σκορπάω,

και την καλή σας την καρδιά και τ’ άνθηρά σας νιάτα

μ’ ένα τραγούδι φιλικό τα γλυκοχαιρετάω.



Νύμφη χαριτοστόλιστη τα μάτια σου αντικρύζω·

κι’ αν έχη ο στίχος μου ευμορφιά, αυτά του την χαρίζουν.

και τον ξανθό σου σύντροφο τόνε καλοτυχίζω

για τόσες χάρες κι αρετές, που αφθόνως σε στολίζουν.



Ευτυχισμένοι νεόνυμφοι, ας είναι ευλογημένη

η μέρα ετούτη που γλυκά συνδέει τη ζωή σας,

τύχη αγαθή τον βίον σας παντοτεινά να ευφραίνη,

φίλοι, γονείς και συγγενείς να χαίρωνται μαζί σας.

Εν Αργοστολίω 22 Απριλίου 1882",https://el.wikisource.org/wiki/%CE%95%CE%B9%CF%82_%CE%B3%CE%AC%CE%BC%CE%BF%CF%85%CF%82_%CE%B4%CE%AF%CE%B4%CE%BF%CF%82_%CE%92%CE%B1%CF%81%CE%B2%CE%AC%CF%81%CE%B1%CF%82_%CE%A4%CE%BF%CF%85%CE%BB
Μικέλης Άβλιχος,1844-1917,,Δάκρυ: εις τον θάνατον του προσφιλεστάτου μικρού Σπύρου,"Le seul bien qui me reste au monde

Est d’ avoir quelque fois pleuzé.

A. de Musset



Ἐπάλαιψες, παιδάκι ἀγαπημένο,

Μὲ τὸ σκληρὸ τὸ χάρο ’σὰ λιοντάρι·

Βλαστάρι θαλερὰ κι’ ὁλανθισμένο,

Μὲ τοῦ βορηᾶ τὴ λύσσα ’σὰν πρινάρι.



Κ’ ἔπεσες... ἄχ! ’ς τὴν πάλη νικημένο

ὁ θάνατος γιὰ δόξα του ἂς τὸ πάρῃ!

Εἶν’ εἰρωνεία ὁ βίος μας... καὶ ξένο

Εἶν’ ὅ,τι ὡραῖο ζῇ ’ς τῆ γῆ για χάρι.



Τὰ ὁλόφωτά σου μάτια θὰ θυμοῦνται

Οἱ δυστυχεῖς γονεῖς σου γιὰ λαχτάρα!

Κι’ ἂν εἰς τὸν ὕπνο κἄποτε εὐτυχεῖς



Τὰ ἰδοῦν, ’σε νέα θὰ βρεθοῦν τρομάρα

Ξυπνῶντας ’ς τὸ σκοτάδι τῆς ζωῆς,

Ποῦ τὸ γλυκό τους φῶς θὲ νὰ στεροῦνται





Καὶ σὺ τραγοῦδι μαῦρο, ἀπελπισμένο,

Στὸν κόσμο τὶ ζητεῖς;

-Δάκρ’ εἶμαι ἐγὼ θερμὸ κ’ ἀγαπημένο

Ὀδύνη τῆς ψυχῆς,

Στάλα δροσιᾶς σὲ τάφου λουλουδάκι

Ἄχαρο «χαῖρε»...τελευταῖο φιλάκι...

. . . . . . . . . . . . . . . . . . . . . . . . . . . . . . . 



Μόνον ἐγὼ ’ς τὴ γῆ δὲν εἶμαι ξένο.",https://el.wikisource.org/wiki/%CE%94%CE%AC%CE%BA%CF%81%CF%85:_%CE%B5%CE%B9%CF%82_%CF%84%CE%BF%CE%BD_%CE%B8%CE%AC%CE%BD%CE%B1%CF%84%CE%BF%CE%BD_%CF%84%CE%BF%CF%85_%CF%80%CF%81%CE%BF%CF%83%CF%86%CE%B9%CE%BB%CE%B5%CF%83%CF%84%CE%AC%CF%84%CE%BF%CF%85_%CE%BC%CE%B9%CE%BA%CF%81%CE%BF%CF%8D_%CE%A3%CF%80%CF%8D%CF%81%CE%BF%CF%85
Μικέλης Άβλιχος,1844-1917,,Να ζήσω και να σβύσω,"Ὅταν τ’ ἀφρᾶτο, τρυφερὸ χεράκι

Πέρνω γλυκὰ με’ τὸ δικό μου χέρι

Γιὰ νὰ σὲ χαιρετίσω,

Γλυκαίνει αὐτὴ ἡ στιγμὴ πολὺ φαρμάκι

Καὶ μιὰ δροσιὰ κρυφὴ ζωῆς μοῦ φέρει

Καὶ ’πιθυμάω νὰ ζήσω!

Ἄχ! ’πιθυμάω νὰ ζήσω!



Καὶ πάλι στὸ χρυσό σου τὸ χεράκι

Ποῦ μ’ ἐλεεῖ καὶ δίχως νὰ τὸ ξέρῃ,

Τολμάω νὰ ἐπιθυμήσω

Μὲ τῆς ψυχῆς ἕνα γλυκὸ φιλάκι

Ὡσὰν μικρὸ ποῦ σαϊτεύει ἀστέρι

Νὰ ζήσω καὶ νὰ σβύσω

Νὰ ζήσω καὶ νὰ σβύσω.



Ἀργοστόλιον",https://el.wikisource.org/wiki/%CE%9D%CE%B1_%CE%B6%CE%AE%CF%83%CF%89_%CE%BA%CE%B1%CE%B9_%CE%BD%CE%B1_%CF%83%CE%B2%CF%8D%CF%83%CF%89
Μικέλης Άβλιχος,1844-1917,,Δάκρυα στο θάνατο του Ν. Κονεμένου,"Ὄχι ἄνθη γιὰ τὸν τάφο σου, δάκρυα θερμὰ μοῦ δίνει,

Γλυκέ μου φίλε, ὁ πόνος μου, καὶ μὲ καϋμὸ θρηνῶ.

Τόσες γλυκὲς ἐνθύμησες γένουνται τώρα ὀδύνη.

Εἶναι φαρμάκι τὸ φιλὶ τοῦ τάφου, τὸ στερνό.



Γέροντας… κλαίω γέροντα… καὶ παλαιό μου φίλο,

Κ’ ἡ Μοῦσα μου στὸν ποιητὴ θλιμμένη ψάλλει ᾠδή,

Κι ὁ πόνος πνίγει τὴν καρδιὰ… καὶ τρέμει σὰν τὸ φύλλο

Τοῦ φθινοπώρου ποὺ ὁ βορηᾶς τὸ δέρνει στὸ κλαδί.



Φίλε γλυκέ μου, ἐγέλασες μὲ τῆς ζωῆς τ’ ἀστεῖα.

Μ’ ἀγάπησες… κ’ ἐπόνεσες… κ’ ἐδάκρυσες συχνά.

Κ’ ἐγίνηκε τὸ γέλιο σου κ’ ὁ πόνος σου ἁρμονία,

Καὶ μυρουδᾶτα λούλουδα… κι ἀμάραντα σεμνά.



Μέσα στὸν κόσμο ἐπάλεψες… κ’ ἤσουν στὸν κόσμο ξένος.

Τὰ ψέματά του ἐμίσησε τὸ πνεῦμα σου τὸ ἀγνό,

Κι ἀπέθανες παντέρημος,ὡσάν… λησμονημένος,

Ποῦχες καρδιὰ στὰ στήθη σου πλασμένη ἀπὸ οὐρανό.



Ἄχ ! στὴ ζωὴ τὴν ἄχαρη, ποὺ μὺ τρομάρα τόση,

Εἰς τὴν ἀγάπη βρίσκουμε κρυφὴ παρηγοριά,

Ἡ Μοῖρα τὴν ἀπόλαυσι θὰ ἱδῇς νὰ σαβανώσῃ.

Μαζὶ νὰ θάψῃ ἀλύπητα κομμάτι μας καρδιά.



Καὶ Σὺ κομμάτι μου καρδιὰ στὸν τάφο σου μοῦ παίρνεις,

Κι’ ἀξένει ἡ ἐρμιά μου πάντοτε μαζί μὲ τὴ ζωή.

Ἀγαπημένα λόγια σου… πλέον… δὲν θὰ μοῦ στέρνῃς.

Καὶ δὲν θὰ σβύση ἡ θλίψι μου ἕως τὴ στερνὴ πνοή.



Γέροντας κλαίω γέροντα καὶ παλαιό μου φίλο,

Κ’ ἡ Μοῦσα μου στὸν ποιητὴ ψάλλει θλιμμένη ᾠδή,

Κι ὁ πόνος πνίγει τὴν καρδιὰ καὶ τρέμει σὰν τὸ φύλλο

Τοῦ φθινοπώρου, ποὺ ὁ βορηᾶς τὸ δέρνει στο κλαδί.

Μιχαήλ Γ. Άβλιχος",https://el.wikisource.org/wiki/%CE%94%CE%AC%CE%BA%CF%81%CF%85%CE%B1_%CF%83%CF%84%CE%BF_%CE%B8%CE%AC%CE%BD%CE%B1%CF%84%CE%BF_%CF%84%CE%BF%CF%85_%CE%9D._%CE%9A%CE%BF%CE%BD%CE%B5%CE%BC%CE%AD%CE%BD%CE%BF%CF%85
Μικέλης Άβλιχος,1844-1917,,Στον αγαπητό μου φίλο Π. Σκαλτσούνη,"Σὲ Σὲνα, ποὺ μοιράζεις τὴ ζωὴ

μὲ τοὺς ἀγαπημένους μας νεκροὺς,

ποῦ μές στῆς κοσμοζάλης τὴ βοὴ

τοὺς μυστικούς των τοὺς παλμοὺς ἀκοῦς.

Σ’ Ἐσὲ τὰ λόγια ἐτοῦτα τῆς ψυχῆς(*)

ποὺ γράφω γιὰ τὸ φίλο μας μὲ πόνο

ποὺ μὲ καημὸ καὶ σὺ τονὲ θρηνεῖς,

σὲ Σένα, ἀγαπητέ μου, ἀφιερώνω.



Ληξοῦρι, Μάρτη του 907.



(*)Εἶναι τὀ ποίημα «Δάκρυα στο θάνατο του Ν. Κονεμένου» 

ποὺ δημοσιεύτηκε στὸ 242 φύλλο τοῦ «Νουμᾶ».",https://el.wikisource.org/wiki/%CE%A3%CF%84%CE%BF%CE%BD_%CE%B1%CE%B3%CE%B1%CF%80%CE%B7%CF%84%CF%8C_%CE%BC%CE%BF%CF%85_%CF%86%CE%AF%CE%BB%CE%BF_%CE%A0._%CE%A3%CE%BA%CE%B1%CE%BB%CF%84%CF%83%CE%BF%CF%8D%CE%BD%CE%B7
Μικέλης Άβλιχος,1844-1917,,Λόγια πόνου,"Στοὺς θρήνους σας στὴν πρώτη συμφορὰ

εἶπα κι’ ἐγὼ τοῦ πόνου σας τραγοῦδι......

Μὰ...... ἡ διωγμένη ἐγύρισε χαρὰ

φέρνοντας νέο ἀφάνταστο λουλοῦδι....

Κι’ ἐστέγνωξαν τὰ μάτια τὰ θλιμμένα, 

κι’ ἄνθισαν πάλι γέλια ἀγαπημένα.



Κι’ ἔλαμψε νέα ὁλόχαρη ζωή..... 

χάρες κι’ ἐλπίδες κι’ ὄνειρα γεμάτη.... 

ὡσὰν λαμπρῆς ἡμέρας χαραυγὴ....

Καί...... ὅμως μόνον εἰρωνεία κι’ ἀπάτη

ἐβγῆκαν ὅλα, π’ ἄσπλαγχνη εἰμαρμένη 

φώλιαζε στ’ ἄνθη σὰν ὀχιὰ κρυμμένη.



Καὶ μέσ’ ςτὴν ἀγαλλίασι τὸ μιαρὸ 

καὶ τὸ φριχτὸ της ἔχυσε φαρμάκι.... 

κι’ ἔδωσε του μαρτύριου τὸ Σταυρὸ 

σ’ ἕνα ἀγγελοῦδι, πιὸ παρὰ παιδάκι.... 

κι’ ἐγίνετε καὶ σεῖς μέχρι θανάτου 

μάρτυρες στὸ σκληρὸν τὸ Γολγοθᾶ του.



Καὶ τώρα ποῦ σὲ μαῦρο ὠκεανὸ 

ὁ πόνος τὴν ψυχὴ σας τὴ βυθίζει, 

ὁ Γολγοθᾶς (ὁποῦ τὸν οὐρανὸ 

μόνος αὐτὸς μὲ τὴν κορφή του ἐγγίζει) 

ἄμποτε ἀπὸ τὸ φῶς του νὰ σᾶς δίνῃ 

μικρὴ παρηγορία..... γιὰ ἐλεημοσύνη.

Μιχαὴλ Γ. Ἄβλιχος.",https://el.wikisource.org/wiki/%CE%9B%CF%8C%CE%B3%CE%B9%CE%B1_%CF%80%CF%8C%CE%BD%CE%BF%CF%85
Μικέλης Άβλιχος,1844-1917,,"Εις τον ποιητή Παλαμά, - Απόκρισι εις ένα γράμμα του","Νουμάς, Τεύχος 464, 28 Ιανουαρίου 1912

Συνάδελφο μὲ κράζεις ποιητή, 

Ἐσύ, «πηγὴ ὕδατος ἁλλομένου», 

Νᾶμα ψαλμοῦ ζωῆς, πατρίδας αἴνου, 

Ποὺ αἰώνια Ἑλλάδα βουίζει θαυμαστή. 



Και ἄμποτες ἀπ’ αὐτὸ νὰ ποτιστῇ 

Τὸ χῶμα αὐτοῦ τοῦ τόπου τοῦ καμένου,

Καὶ νἄναι καὶ ἡ βουλὴ τοῦ πεπρωμένου 

Ξανὰ μὲ δάφνες νέες νὰ στολιστῇ.

 

Μὰ ἐγὼ εἶμαι ἔρημου βράχου μιὰ βρυσούλα,

Ποὺ ἔρημη ρέει σ’ ἔρημο γιαλό -

Καὶ ρέει, σὰ νὰ κλαίῃ τὴν ἐρμιά της·

 

Καὶ μόνον νύχτα-μέρα-βράδυ-αὐγούλα 

Κρένει μὲ τοῦ πελάου τὸ βογγητὸ...

Καὶ ἂν ἔρτῃ φτερωτὸς νὰ πγῇ διαβάτης.

Ληξούρι, 1911, Χριστούγεννα","https://el.wikisource.org/wiki/%CE%95%CE%B9%CF%82_%CF%84%CE%BF%CE%BD_%CF%80%CE%BF%CE%B9%CE%B7%CF%84%CE%AE_%CE%A0%CE%B1%CE%BB%CE%B1%CE%BC%CE%AC,_-_%CE%91%CF%80%CF%8C%CE%BA%CF%81%CE%B9%CF%83%CE%B9_%CE%B5%CE%B9%CF%82_%CE%AD%CE%BD%CE%B1_%CE%B3%CF%81%CE%AC%CE%BC%CE%BC%CE%B1_%CF%84%CE%BF%CF%85"
